route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
15840813,0,4,Трамвай 4: Метро «Бульвар Рокоссовского» - Курский вокзал,0,#000000,
1348910,0,16,Трамвай 16: Чертаново Южное - Даниловская мануфактура,0,#000000,
1371410,0,17,Трамвай 17: Останкино - Медведково,0,#000000,
1343815,0,1,Трамвай 1: Чертаново Южное - Москворецкий рынок,0,#000000,
2529840,0,13,Трамвай 13: Метрогородок - Каланчёвская улица,0,#000000,
3299881,0,7,Трамвай 7: Метро «Бульвар Рокоссовского» - Тверская Застава,0,#000000,
1371613,0,11,Трамвай 11: Останкино - Восточное Измайлово,0,#000000,
7080875,0,36,Трамвай 36: Метрогородок - Новогиреево,0,#000000,
3184064,0,21,Трамвай 21: Таллинская улица - Метро «Щукинская»,0,#000000,
3184107,0,27,Трамвай 27: Метро «Дмитровская» - Метро «Войковская»,0,#000000,
3184019,0,23,Трамвай 23: Михалково - Метро «Сокол»,0,#000000,
3184018,0,15,Трамвай 15: Таллинская улица - Метро «Сокол»,0,#000000,
3184021,0,30,Трамвай 30: Улица Кулакова - Михалково,0,#000000,
3184063,0,10,Трамвай 10: Улица Кулакова - Метро «Щукинская»,0,#000000,
15840812,0,6,Трамвай 6: Братцево - Метро «Сокол»,0,#000000,
1343415,0,3,Трамвай 3: Метро «Чертановская» - Метро «Чистые пруды»,0,#000000,
1538182,0,37,Трамвай 37: Новогиреево - Каланчёвская улица,0,#000000,
1538183,0,32,Трамвай 32: Курский вокзал - Метро «Партизанская»,0,#000000,
1538180,0,50,Трамвай 50: Дом культуры «Компрессор» - Метро «Новослободская»,0,#000000,
1538181,0,46,Трамвай 46: Метрогородок - МЦД Калитники,0,#000000,
1689065,0,26,Трамвай 26: Метро «Университет» - Метро «Октябрьская»,0,#000000,
7339185,0,14,Трамвай 14: Метро «Университет» - Метро «Октябрьская»,0,#000000,
1689391,0,39,Трамвай 39: Метро «Университет» - Метро «Чистые пруды»,0,#000000,
1689398,0,А,Трамвай А: МЦД Калитники - Метро «Чистые пруды»,0,#000000,
1689752,0,47,Трамвай 47: Нагатино - Метро «Октябрьская»,0,#000000,
1690017,0,38,Трамвай 38: Черёмушки - Дом культуры «Компрессор»,0,#000000,
3184024,0,28,Трамвай 28: Проспект Маршала Жукова - Метро «Сокол»,0,#000000,
3186266,0,25,Трамвай 25: Останкино - Сокольническая Застава,0,#000000,
3375725,0,31,Трамвай 31: Проспект Маршала Жукова - Метро «Войковская»,0,#000000,
6653146,0,29,Трамвай 29: Метро «Дмитровская» - Михалково,0,#000000,
7657682,0,49,Трамвай 49: Нагатино - Даниловская мануфактура,0,#000000,
15840817,0,9,Трамвай 9: Белорусский вокзал - МИИТ,0,#000000,
4179202,0,43,Трамвай 43: МЦК Угрешская - Сокольническая застава,0,#000000,
1538177,0,12,Трамвай 12: Восточное Измайлово - МЦК Дубровка,0,#000000,
18088225,0,4,Трамвай 2: 3-я Владимирская улица - Курский вокзал,0,#000000,
1462012,0,5,Кольцевая линия,1,#A35539,
1514439,0,6,Калужско-Рижская линия,1,#F07E23,
1570146,0,9,Серпуховско-Тимирязевская линия,1,#ADACAC,
1463287,0,4,Филёвская линия,1,#1EBCEF,
1472548,0,3,Арбатско-Покровская линия,1,#0072BA,
1475758,0,1,Сокольническая линия,1,#E42313,
1516383,0,7,Таганско-Краснопресненская линия,1,#943E90,
1532877,0,10,Люблинско-Дмитровская линия,1,#BED12C,
1526351,0,8,Калининская линия,1,#FFCD1C,
1580617,0,12,Бутовская линия,1,#bac8e8,
1572626,0,2,Замоскворецкая линия,1,#4FB04F,
6855054,0,8А,Солнцевская линия,1,#FFCD1C,
10011657,0,15,Некрасовская линия,1,#F088B6,
8119161,0,11,Большая кольцевая линия,1,#78C7C9,
