route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
15840813,0,448785,Трамвай 4: Курский вокзал => Метро «Бульвар Рокоссовского»,0,448785_shp
1348910,0,538657,Трамвай 16: Даниловская мануфактура => Чертаново Южное,0,538657_shp
1371410,0,540033,Трамвай 17: Останкино => Медведково,0,540033_shp
1371410,0,540139,Трамвай 17: Медведково => Останкино,1,540139_shp
1343815,0,543080,Трамвай 1: Москворецкий рынок => Чертаново Южное,0,543080_shp
2529840,0,547827,Трамвай 13: Метрогородок => Каланчёвская улица,0,547827_shp
2529840,0,556081,Трамвай 13: Каланчёвская улица => Метрогородок,1,556081_shp
3299881,0,556900,Трамвай 7: Белорусский вокзал => Метро «Бульвар Рокоссовского»,0,556900_shp
1371613,0,918052,Трамвай 11: Останкино => Восточное Измайлово,0,918052_shp
1371613,0,920053,Трамвай 11: Восточное Измайлово => Останкино,1,920053_shp
15840813,0,1082824,Трамвай 4: Метро «Бульвар Рокоссовского» => Курский вокзал,1,1082824_shp
7080875,0,1100813,Трамвай 36: Новогиреево => Метрогородок,0,1100813_shp
7080875,0,1100822,Трамвай 36: Метрогородок => Новогиреево,1,1100822_shp
3184064,0,1216232,Трамвай 21: Метро «Щукинская» => Таллинская улица,0,1216232_shp
3184107,0,1216289,Трамвай 27: Метро «Войковская» => Метро «Дмитровская»,0,1216289_shp
3184107,0,1216344,Трамвай 27: Метро «Дмитровская» => Метро «Войковская»,1,1216344_shp
3184019,0,1217244,Трамвай 23: Михалково => Метро «Сокол»,0,1217244_shp
3184018,0,1223129,Трамвай 15: Метро «Сокол» => Таллинская улица,0,1223129_shp
3184019,0,1223430,Трамвай 23: Метро «Сокол» => Михалково,1,1223430_shp
3184021,0,1223431,Трамвай 30: Михалково => Улица Кулакова,0,1223431_shp
3184063,0,1224026,Трамвай 10: Метро «Щукинская» => Улица Кулакова,0,1224026_shp
3184063,0,1224136,Трамвай 10: Улица Кулакова => Метро «Щукинская»,1,1224136_shp
3184064,0,1224178,Трамвай 21: Таллинская улица => Метро «Щукинская»,1,1224178_shp
3184021,0,1224819,Трамвай 30: Улица Кулакова => Михалково,1,1224819_shp
3184018,0,1224820,Трамвай 15: Таллинская улица => Метро «Сокол»,1,1224820_shp
15840812,0,1225388,Трамвай 6: Метро «Сокол» => Братцево,0,1225388_shp
15840812,0,1244690,Трамвай 6: Братцево => Метро «Сокол»,1,1244690_shp
1343815,0,1283310,Трамвай 1: Чертаново Южное => Москворецкий рынок,1,1283310_shp
1343415,0,1284062,Трамвай 3: Метро «Чертановская» => Метро «Чистые пруды»,0,1284062_shp
1343415,0,1343391,Трамвай 3: Метро «Чистые пруды» => Метро «Чертановская»,1,1343391_shp
1348910,0,1347973,Трамвай 16: Чертаново Южное => Даниловская мануфактура,1,1347973_shp
1538182,0,1538160,Трамвай 37: Каланчёвская улица => Новогиреево,0,1538160_shp
1538183,0,1538163,Трамвай 32: Курский вокзал => Метро «Партизанская»,0,1538163_shp
1538180,0,1538169,Трамвай 50: Дом культуры «Компрессор» => Метро «Новослободская»,0,1538169_shp
1538180,0,1538170,Трамвай 50: Метро «Новослободская» => Дом культуры «Компрессор»,1,1538170_shp
1538181,0,1538171,Трамвай 46: МЦД Калитники => Метрогородок,0,1538171_shp
1538181,0,1538172,Трамвай 46: Метрогородок => МЦД Калитники,1,1538172_shp
1689065,0,1689026,Трамвай 26: Метро «Университет» => Метро «Октябрьская»,0,1689026_shp
1689065,0,1689064,Трамвай 26: Метро «Октябрьская» => Метро «Университет»,1,1689064_shp
7339185,0,1689106,Трамвай 14: Метро «Октябрьская» => Метро «Университет»,0,1689106_shp
